auth.id,group,focal,anr_year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
12766889900,100,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,14,14,20,20,20,20,40,40,40,40,40,2005
24766427900,1000,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,2003
24772993800,1003,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,25,25,28,31,31,41,41,46,46,2006
24773509500,1004,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,6,6,6,6,6,6,6,6,6,1990
24773619100,1005,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,14,14,20,34,44,2011
24773749600,1006,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2008
24779807500,1008,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,11,17,22,23,25,26,28,31,39,2005
12767832700,101,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,13,13,17,19,19,34,39,42,51,62,69,71,94,97,2002
24802282900,1010,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,8,8,8,8,2003
24923394500,1024,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,11,15,15,15,15,15,24,30,32,32,32,2000
25623402300,1041,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,5,5,9,11,15,2007
25626315100,1043,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,7,18,27,36,47,77,78,99,112,2005
25633701200,1047,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,10,13,13,14,16,21,28,35,2008
25633840700,1048,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,23,28,32,39,39,64,87,87,102,104,104,1991
25638387700,1051,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,7,14,23,30,46,57,61,2008
25641871100,1053,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,11,21,21,25,26,26,33,33,33,42,49,50,50,2002
25643389600,1055,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,6,2001
25723949700,1059,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1996
25924773800,1062,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,5,9,14,17,17,24,25,2008
25924828400,1063,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,10,10,18,18,18,21,23,23,23,23,23,23,42,1993
26029311400,1078,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,8,8,8,10,14,18,20,24,2007
26530905900,1103,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,17,2008
26531429300,1104,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,15,19,19,19,2009
26532210900,1107,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2009
26641909600,1115,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,5,2002
26643351300,1127,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,21,21,22,23,23,1993
26643838700,1133,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,14,16,16,20,20,20,20,20,20,20,2004
26654833600,1141,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,9,9,9,2009
27267821400,1160,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,16,16,21,22,30,2009
27568174400,1163,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2009
12793307600,117,1,2011,0,0,0,0,0,0,0,0,0,0,0,2,6,6,17,17,17,17,18,27,41,45,46,55,64,68,71,72,83,2001
29367508100,1170,1,2011,0,0,0,0,0,0,0,0,0,0,3,4,8,8,8,8,11,11,18,19,20,21,24,28,28,31,32,33,37,2000
33367511700,1181,1,2012,0,0,0,0,0,2,2,2,2,2,2,5,5,5,6,6,6,10,16,17,18,21,23,28,31,32,33,35,37,1995
34569363500,1184,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,9,15,19,24,26,33,42,63,66,69,2006
34570066300,1185,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,1990
34770173300,1188,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,83,83,83,1998
34770397300,1189,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,2005
34873799400,1193,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,5,6,6,8,2009
34976567000,1196,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,9,13,20,22,23,26,27,2009
35071285400,1201,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,22,22,22,22,22,2009
35078036900,1205,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,5,5,5,2009
35078375800,1206,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2009
35090045800,1210,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,16,16,16,16,16,20,22,27,27,27,40,40,44,44,2002
35099997000,1212,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,5,2011
35104255800,1213,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,8,9,10,10,2010
35113731100,1214,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,7,9,9,13,17,17,18,2009
35113776100,1215,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,7,7,11,17,21,23,23,24,25,27,29,29,2004
35118560200,1216,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,2009
35197934800,1225,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,5,5,7,9,10,2010
35221597500,1226,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,2008
