ID,name,start_year,max_hole
8958327900,Regina Gusmão,2000,18
6508297663,Orfan Zahraa,1995,15
7004267341,Diego Mateo,2008,18
8642393600,Jane Goudge,2015,25
55873955900,A. Diebold,2014,25
49862174900,Ndeye Arame Thiam,2015,25
7005124189,G. C. Righini,1990,4
7404174478,Toru Hasegawa,2001,16
6701637996,Georges Henri Cottet,1990,5
8852651700,David Bangor,2005,15
56523160100,Adrien Jouary,2010,27
6506145608,M. Khalfaoui,1996,16
8980426100,Sarah Cohen-Boulakia,2005,15
7401970635,S. Yoo,2012,22
35575819100,Abhijit Mahalanobis,2004,28
55376931500,Harald Hetzenauer,2013,25
24386037000,Thomas Sirvent,2008,18
56985435800,Atia Cortés,2018,28
7003709943,Assunta Sorrentino,2004,14
7003729382,Alioune Ngom,2014,24
6506195434,Patrice Laprat,1995,25
7003376659,Zdeněk Martinec,1992,25
55719005700,Seoyoung Kim,2017,25
35444766700,Nikolay A. Kolchanov,2013,25
36634548900,Alexandros Mouskeftaras,2010,22
55476383300,Y. Yamamoto,2001,17
6504202250,Gunnar Hovmark,2002,16
54793525200,Okke Schrijvers,2013,23
14630284000,Matthew B. Garrison,2006,16
25939623700,Robert Fournier,1993,25
14619163500,A. A. Kardamakis,2010,20
56091446600,Olivier Ameline,2014,24
56937882200,Kouzou Ohara,2005,18
55782381000,M. Whimpey,2011,21
36059257800,Pankaj Kadwani,2012,23
11738782000,Julien Perruisseau-Carrier,2007,20
56781292200,N. Guizani,2015,25
26326181300,R. Castro-Beltran,2011,21
6603228789,Thomas E. Vandervelde,2014,24
7004477662,Sara Brunetti,2000,10
6508033324,Ines Klimann,2003,11
25628233000,Maxime Monnin,2006,18
55703470300,Qian Li,2011,21
21834460700,Pierre Lafaye De Micheaux,2004,21
34870540900,Krzysztof Radwański,2015,25
7003494205,Christophe Baudet,1996,22
7005865095,A. Gruen,2007,17
12240297000,Jean Denis Laffitte,2005,14
8729407200,Jerzy Duda,2013,23
25222870300,Dominique Hurtado,2008,18
42061855800,Gael Le Lan,2010,26
57190745554,Rauffet Philippe,2016,26
57193437031,Nilton M. Souza,2017,27
56411842000,G. Ciaramella,2015,25
23397604200,Mounia Mikram,2015,25
36082756400,Tuan K. Huynh,2010,20
22735903900,Evangelos Zirintsis,2003,15
6602726745,Antonia Azzini,2007,22
56365987700,L. Taddei,2014,26
6602364546,Rómulo I. Zequeira,2003,14
54581742800,Maarten Vaandrager,2012,22
55885827600,William Christmas,2007,16
7006185644,Alain Jacques,1993,20
57205427735,Ilya Yuskevich,2018,28
57201405140,Oliver Ferdinand,2017,27
35226280500,Hanene Guesmi,2015,22
55892354500,J. Rackauskas,2013,24
23992392000,K. Haddadi,2006,21
56130684200,Yahong Zheng,2011,21
7004236053,Laurent El Ghaoui,1992,5
56490304600,Mariem Abdelmoula,2014,24
8525292600,Emmanuel Jacquot,1996,28
52264444300,Irena Penev,2012,23
